group_id,action,product_id,current_name,canonical_name,brand,category_id
1,KEEP,9947d8b6-41ab-4f2d-85de-87bcd66b5873,Endo Z,Endo Z,,
1,MERGE,36eab931-a0ce-40fd-aed7-a942857da156,Fresa Endo-Z,Endo Z,Microdont,
2,MERGE,e2817ea2-954f-480c-8748-0eb02d1ebc30,Dycal USA,Dycal USA – Dentsply,Dentsply,
2,KEEP,ad0c0efa-3fc7-4f33-8a46-12720a2a1083,Dycal USA – Dentsply,Dycal USA – Dentsply,,
2,MERGE,898646d8-599f-4593-affb-3d8c0518d096,Dycal Usa -Dentsply Sirona,Dycal USA – Dentsply,,
3,KEEP,8e57c3ad-b557-478c-bba3-5d8c1dd091f6,Mango Espejo,Mango Espejo,,
3,MERGE,5c5521d9-31f1-49ae-bf7d-58afc89f6c63,Mango Para Espejo,Mango Espejo,,
4,MERGE,f688b06e-67ed-47c8-a7b1-cf6cd9d72b7c,VITTRA APS 4G,"Vittra Aps 4grs, FGM",,
4,KEEP,42195faa-fe98-4ddc-bece-7e314e414017,"Vittra Aps 4grs, FGM","Vittra Aps 4grs, FGM",,
5,KEEP,57a0bdb4-1aaf-4413-9cda-9ea985a98257,Arco De Young,Arco De Young,Gipfel,
5,MERGE,86b15151-ef4b-4f59-b97d-7600e0f2a219,Arco de Young,Arco De Young,Gipfel,
6,KEEP,fc639c57-08b6-48ea-9523-38e44cf6e58a,Aplicador MTA,Aplicador MTA,Gipfel,
6,MERGE,2e8d4653-0f1b-4cba-a8c7-7146fb1209db,Aplicador de MTA,Aplicador MTA,,
7,KEEP,f4a845c5-0143-4175-8d18-6c0f75d625eb,LASER PIOON H1,LASER PIOON H1,,
7,MERGE,8c2dd001-b397-46b7-b858-7b9d8dba98f2,Laser Diodo  Pioon H1,LASER PIOON H1,,
8,KEEP,5e94343a-a24c-46eb-bf75-604df0991b94,Espatula Godiva,Espatula Godiva,,
8,MERGE,22165ea1-2c16-4ce2-9f70-fa1d65b501e9,Espátula Godiva,Espatula Godiva,Genérico,1c12aa72-c677-4afa-b331-5b89bcffb6c9
9,KEEP,46ae0e2f-688f-45a5-998f-ec31316ed91c,Espejo Numero 5,Espejo Numero 5,Genérico,1c12aa72-c677-4afa-b331-5b89bcffb6c9
9,MERGE,d4dec981-b177-4687-8154-7b76c23c7007,Espejo Importado Numero 5,Espejo Numero 5,,
9,MERGE,9c4840b6-13fa-45b6-9018-6982a26284d2,Espejo Dental Número 5,Espejo Numero 5,Genérico,1c12aa72-c677-4afa-b331-5b89bcffb6c9
10,KEEP,8a53251c-ba58-435c-adec-d94475dd1bad,Tallador Ward 1,Tallador Ward 1,Medinox,
10,MERGE,f9d306ce-39c4-4c57-9592-fa363a706bb5,Tallador Ward Nº 1,Tallador Ward 1,,
10,MERGE,fbe24791-7a87-4b5a-9490-551345acc924,Tallador Ward #1 Medinox,Tallador Ward 1,Medinox,
11,KEEP,24c9c274-918a-4b18-b2fa-657e1f8ed74f,RELYX TEMP NE 3M,RELYX TEMP NE 3M,,
11,MERGE,2830a264-09a9-404b-992d-fa78fe4e2307,3M Relyx Temp NE,RELYX TEMP NE 3M,Solventum,
12,KEEP,c9d5f2a2-f114-421c-af9e-ef041d0ff61a,Loseta De Vidrio,Loseta De Vidrio,Otros,
12,MERGE,a54d1ec0-1ec9-471e-9601-5f9480100eb4,Loseta de vidrio,Loseta De Vidrio,Otros,
13,KEEP,cf1cde13-7707-4fbc-b3f5-2bd7a7d6aa6a,Cuchillo De Yeso,Cuchillo De Yeso,,
13,MERGE,2f3a088f-c206-4e61-9810-636df0ee5001,Cuchillo de Yeso,Cuchillo De Yeso,Genérico,
14,KEEP,e44b2369-9cf2-4166-aef2-e2de2c51c038,Opallis Flow FGM,Opallis Flow FGM,FGM,
14,MERGE,23fb87e4-9b0e-4117-bb9e-6bd3f81e16b5,Composite Opallis Flow FGM,Opallis Flow FGM,FGM,
15,KEEP,e4d5528d-dab3-4756-8d2f-88ffcb54e817,Endo ICE Maquira,Endo ICE Maquira,Maquira,
15,MERGE,4b78661f-f631-4263-afbe-06dcd141a447,Endo Ice -200ml Maquira,Endo ICE Maquira,,
15,MERGE,549e2fa2-137e-42d5-adbd-8ce6aa9e40c1,Endo Ice Spray Maquira,Endo ICE Maquira,Maquira,
16,KEEP,64f3b548-1c82-4cf6-bb97-87ae4980e577,Mechero de Vidrio,Mechero de Vidrio,Genérico,
16,MERGE,015f2bc8-47a6-4940-8af5-d0df0174a6ad,Mechero de vidrio,Mechero de Vidrio,Genérico,
16,MERGE,47ef8841-76f0-451e-a3dd-815da5b6d1ce,Mechero De Vidrio,Mechero de Vidrio,,
17,KEEP,62d4fed3-9e04-4148-b2dd-a0cae72931ab,Pilar Estético 0°,Pilar Estético 0°,,
17,MERGE,52cba81f-3946-414a-b1ee-e3bb67076817,Pilar Estético Peek 0°,Pilar Estético 0°,,
18,KEEP,c7f0493a-b2a1-4af5-9ce7-33d78838427b,4 Microbrush Fino,4 Microbrush Fino,Genérico,
18,MERGE,2a44f671-5b24-4347-bc9e-4641a3148b18,4 Microbrush Super Fino,4 Microbrush Fino,Genérico,
19,KEEP,c25b70ec-b25c-43fa-b5a2-18acf0cd9415,Cureta Gracey 1/2,Cureta Gracey 1/2,Gipfel,
19,MERGE,18e71076-c879-47e2-9f17-43e1f2e0c284,Cureta Gracey Importada 1/2,Cureta Gracey 1/2,,
20,KEEP,e3f96a80-5e42-492d-a6e5-4161d1333105,Cureta Gracey 7/8,Cureta Gracey 7/8,Gipfel,
20,MERGE,61d098a4-1a3e-4f83-869a-b410845de023,Cureta Gracey Importada 7/8,Cureta Gracey 7/8,,
21,KEEP,e9aa79d4-5be5-40f5-82a8-253c958b4f4f,Juvederm Ultra XC,Juvederm Ultra XC,Allergan,8b54e511-b1da-4281-b37b-182395ad0772
21,MERGE,4368c3a5-b13f-4d8f-aa7e-6221bef8179f,Juvederm Ultra Plus XC,Juvederm Ultra XC,Allergan,8b54e511-b1da-4281-b37b-182395ad0772
22,KEEP,58fd7af0-cfdf-4400-93a6-ebe293139f8a,Prosil Silano FGM,Prosil Silano FGM,FGM,fe3759d1-e08d-43ec-b9e7-f4ecb45827a4
22,MERGE,e4c223d3-c833-4456-b006-2f3d6abba0e2,Silano Prosil 4ml FGM,Prosil Silano FGM,FGM,fe3759d1-e08d-43ec-b9e7-f4ecb45827a4
23,KEEP,1ee73a86-4994-4067-8306-f60bf0c621e3,Pinza Kelly Curva,Pinza Kelly Curva,,1c12aa72-c677-4afa-b331-5b89bcffb6c9
23,MERGE,e588faa9-d678-46fb-85c4-ff9f908e3eb1,Pinza Kelly Curva 14cm,Pinza Kelly Curva,,1c12aa72-c677-4afa-b331-5b89bcffb6c9
24,KEEP,1f5a3dcc-7925-42a3-8543-a77ad9d0e94b,Tijera Mayo 14 cm,Tijera Mayo 14 cm,Eksa Dental,
24,MERGE,34fe6014-2f14-4df1-94ef-ce8043aafc47,Tijera Mayo Recta A-A 14 Cm,Tijera Mayo 14 cm,,
25,KEEP,e536a7fe-d647-4387-a2c6-8a44e12d2991,Cureta Gracey 5/6,Cureta Gracey 5/6,Gipfel,
25,MERGE,5c581b7a-cd95-4586-81ce-e86b4f9d9c65,Cureta Gracey Importada 5/6,Cureta Gracey 5/6,,
26,MERGE,32c25d25-4eee-4d64-8647-7012e737c56d,Lima K Access 21mm,Lima K M – Access 21mm Dentsply,,
26,KEEP,ffd783c1-7258-4645-8c7c-dd48ce4e6d2b,Lima K M – Access 21mm Dentsply,Lima K M – Access 21mm Dentsply,Dentsply,e4a0a58e-7f39-48fb-88bf-ab3c35beeda3
27,MERGE,96b647a8-738d-476c-a3c2-c1257be44198,Lima K Access 25mm,Lima K M – Access 25mm Dentsply,Dentsply,
27,KEEP,527a8804-dc89-4cff-85bc-6ec4da221ff3,Lima K M – Access 25mm Dentsply,Lima K M – Access 25mm Dentsply,Dentsply,e4a0a58e-7f39-48fb-88bf-ab3c35beeda3
27,MERGE,6a556981-f007-4457-912b-8ad7de99a4ea,Lima K Access 25mm #50,Lima K M – Access 25mm Dentsply,Dentsply,
27,MERGE,09de4ab4-b091-41c4-849d-25b32f047539,Lima K Access 25mm #45,Lima K M – Access 25mm Dentsply,Dentsply,
27,MERGE,fd9a8a30-ada5-4556-81d3-f303f4271dd4,Lima K Access 25mm #20,Lima K M – Access 25mm Dentsply,Dentsply,
27,MERGE,6da8e13e-3403-4b5b-b8c4-02d8297eff40,Lima K Access 25mm #30,Lima K M – Access 25mm Dentsply,,
27,MERGE,b564469c-c4ed-4baa-80d0-7cd108ae8a17,Lima K Access 25mm #15,Lima K M – Access 25mm Dentsply,Dentsply,
27,MERGE,2560412f-f31e-4182-95e5-3ec2162e0b42,Lima K Access 25mm #35,Lima K M – Access 25mm Dentsply,Dentsply,
27,MERGE,4ed8a8b5-065b-40c4-9bcb-924c0307c86d,Lima K Access 25mm #55,Lima K M – Access 25mm Dentsply,Dentsply,
27,MERGE,24cc93d6-5090-4443-944f-faf3af102a2f,Lima K Access 25mm #80,Lima K M – Access 25mm Dentsply,Dentsply,
27,MERGE,9d022105-be3c-44b9-baa0-22206784abe6,Lima K Access 25mm #25,Lima K M – Access 25mm Dentsply,Dentsply,
28,KEEP,aaa1d851-b479-4b99-add5-a99c6c6b4ea9,Calibrador De Cera,Calibrador De Cera,,
28,MERGE,d1255f13-2ba7-4794-91ca-3f8ff16240a0,Calibrador de Cera,Calibrador De Cera,Eksa Dental,1c12aa72-c677-4afa-b331-5b89bcffb6c9
29,KEEP,52e90aee-2f09-4666-bc00-d449693da0c3,Yeso Piedra Velmix,Yeso Piedra Velmix,Velmix,
29,MERGE,dfa8163e-a0a9-4ae8-8c52-846bd59b4aec,Yeso piedra Velmix Amarillo,Yeso Piedra Velmix,Velmix,
30,KEEP,5dbdedb1-ab3d-4afe-bfe8-bc0d1e4520f1,Sonda Caries Curva,Sonda Caries Curva,Gipfel,1c12aa72-c677-4afa-b331-5b89bcffb6c9
30,MERGE,54835c4e-6990-45cd-b895-810c156a5462,Sonda de caries curva Medinox,Sonda Caries Curva,Medinox,
30,MERGE,b9f074cc-10da-4c3b-b3ce-a6096dcbd788,Sonda Caries Curva SILVER,Sonda Caries Curva,Gipfel,
30,MERGE,58ee0c4c-a3f7-44ae-b75f-7198b46c5491,Sonda Caries Curva BLACK,Sonda Caries Curva,Gipfel,
30,MERGE,3b08a3d4-e828-46cd-bc37-aeb13c81f402,Sonda Caries Curva BLUE,Sonda Caries Curva,Gipfel,
31,KEEP,b1cd4e2a-0ba4-42d7-882d-9ae3be34a184,Tijera Encia Curva,Tijera Encia Curva,Genérico,
31,MERGE,2cd5cc60-a776-4083-b5f4-c8c501e3c0f6,Tijera de Encia Curva,Tijera Encia Curva,Genérico,
32,MERGE,86e24dc5-8360-4813-9b7a-1147ea97b1c0,Lima K Access 31mm,Lima K M – Access 31mm Dentsply,,
32,KEEP,15cf8b77-0164-449d-a68d-6569872212b7,Lima K M – Access 31mm Dentsply,Lima K M – Access 31mm Dentsply,Dentsply,e4a0a58e-7f39-48fb-88bf-ab3c35beeda3
33,KEEP,bc367599-e082-4623-988a-0e88562e10c1,Destilador de Agua,Destilador de Agua,Vossler,
33,MERGE,c213d21a-5adc-4fbc-a1d9-2c236bcebafb,Destilador De Agua,Destilador de Agua,Vossler,
34,KEEP,5243f47f-e667-48a1-9ef0-e2a6f75c7697,Espátula de Lecron,Espátula de Lecron,Genérico,
34,MERGE,6634a7fe-501d-4007-bb5b-6afa39ca4e24,Espatula De Lecron,Espátula de Lecron,Genérico,1c12aa72-c677-4afa-b331-5b89bcffb6c9
35,MERGE,ec4a70ce-e8d2-4770-a08d-64c48d987fc2,Opalescence Go 15%,"Opalescence Go 15%, UltraDent",Ultradent,
35,KEEP,564f6c58-fb1d-4445-8508-d05594f53174,"Opalescence Go 15%, UltraDent","Opalescence Go 15%, UltraDent",Ultradent,
36,KEEP,935f1eb3-c666-4052-b841-d73c703532a0,Porta Clamps Recto,Porta Clamps Recto,Genérico,
36,MERGE,922ad93f-17ea-4c3b-be3e-138a37328515,Porta clamps recto Medinox,Porta Clamps Recto,Medinox,
37,KEEP,545ebc0b-3e95-4b9d-adfe-996ac59a1611,Vaso Dappen Vidrio,Vaso Dappen Vidrio,Genérico,
37,MERGE,ab91a1ea-5738-469b-bc66-1652a976c962,Vaso Dappen De Vidrio,Vaso Dappen Vidrio,,
